timestamp,date,latitude,longitude
1592077358,"2020-06-13 19:42:38",37.372607,-6.054138
1592077421,"2020-06-13 19:43:41",37.372569,-6.053352
1592077452,"2020-06-13 19:44:12",37.37301,-6.053393
1592077484,"2020-06-13 19:44:44",37.373399,-6.053521
1592077501,"2020-06-13 19:45:01",37.373798,-6.053619
1592077548,"2020-06-13 19:45:48",37.374696,-6.053192
1592077564,"2020-06-13 19:46:04",37.374443,-6.053432
1592077611,"2020-06-13 19:46:51",37.37481,-6.052874
1592077643,"2020-06-13 19:47:23",37.375218,-6.052697
1592077675,"2020-06-13 19:47:55",37.375533,-6.052507
1592077706,"2020-06-13 19:48:26",37.375959,-6.052494
1592077737,"2020-06-13 19:48:57",37.376429,-6.052378
1592077778,"2020-06-13 19:49:38",37.376947,-6.052541
1592077833,"2020-06-13 19:50:33",37.377702,-6.052922
1592077844,"2020-06-13 19:50:44",37.377569,-6.052468
1592077852,"2020-06-13 19:50:52",37.377786,-6.052782
1592077893,"2020-06-13 19:51:33",37.37822,-6.053007
1592077924,"2020-06-13 19:52:04",37.378592,-6.053027
1592077955,"2020-06-13 19:52:35",37.378711,-6.052566
1592077985,"2020-06-13 19:53:05",37.378932,-6.05219
1592078016,"2020-06-13 19:53:36",37.379352,-6.051754
1592078044,"2020-06-13 19:54:04",37.37959,-6.051506
1592078078,"2020-06-13 19:54:38",37.380117,-6.051244
1592078109,"2020-06-13 19:55:09",37.38072,-6.05117
1592078140,"2020-06-13 19:55:40",37.380522,-6.050546
1592078161,"2020-06-13 19:56:01",37.380322,-6.050233
1592078203,"2020-06-13 19:56:43",37.380094,-6.049655
1592078237,"2020-06-13 19:57:17",37.379793,-6.049125
1592078273,"2020-06-13 19:57:53",37.379624,-6.048451
1592078308,"2020-06-13 19:58:28",37.379582,-6.048001
1592078316,"2020-06-13 19:58:36",37.379293,-6.0476
1592078368,"2020-06-13 19:59:28",37.379812,-6.047373
1592078408,"2020-06-13 20:00:08",37.380319,-6.046993
1592078444,"2020-06-13 20:00:44",37.380467,-6.046624
1592078478,"2020-06-13 20:01:18",37.380277,-6.046047
1592078509,"2020-06-13 20:01:49",37.380492,-6.045768
1592078524,"2020-06-13 20:02:04",37.380748,-6.045378
1592078571,"2020-06-13 20:02:51",37.380719,-6.044569
1592078604,"2020-06-13 20:03:24",37.380597,-6.04423
1592078638,"2020-06-13 20:03:58",37.380179,-6.043603
1592078671,"2020-06-13 20:04:31",37.380312,-6.043106
1592078705,"2020-06-13 20:05:05",37.379936,-6.042522
1592078736,"2020-06-13 20:05:36",37.379937,-6.042177
1592078786,"2020-06-13 20:06:26",37.379617,-6.041449
1592078826,"2020-06-13 20:07:06",37.379258,-6.04074
1592078926,"2020-06-13 20:08:46",37.37938,-6.040434
1592078959,"2020-06-13 20:09:19",37.380087,-6.04134
1592079004,"2020-06-13 20:10:04",37.378863,-6.040259
1592079057,"2020-06-13 20:10:57",37.380118,-6.042746
1592079063,"2020-06-13 20:11:03",37.379861,-6.041852
1592079071,"2020-06-13 20:11:11",37.379452,-6.040737
1592079104,"2020-06-13 20:11:44",37.379748,-6.041786
1592079110,"2020-06-13 20:11:50",37.379375,-6.040423
1592121728,"2020-06-14 08:02:08",37.379366,-6.040404
1592122299,"2020-06-14 08:11:39",37.379371,-6.040393
1592123876,"2020-06-14 08:37:56",37.380114,-6.040778
1592123889,"2020-06-14 08:38:09",37.379287,-6.0406
1592123921,"2020-06-14 08:38:41",37.379045,-6.040364
1592123970,"2020-06-14 08:39:30",37.379544,-6.040908
1592123982,"2020-06-14 08:39:42",37.3792,-6.040624
1592124045,"2020-06-14 08:40:45",37.379786,-6.040892
1592124050,"2020-06-14 08:40:50",37.380144,-6.041196
1592124076,"2020-06-14 08:41:16",37.379939,-6.042147
1592124084,"2020-06-14 08:41:24",37.379416,-6.040969
1592124108,"2020-06-14 08:41:48",37.378489,-6.041233
1592124125,"2020-06-14 08:42:05",37.379131,-6.039801
1592124139,"2020-06-14 08:42:19",37.380145,-6.039506
1592124171,"2020-06-14 08:42:51",37.38051,-6.036032
1592124203,"2020-06-14 08:43:23",37.379137,-6.034455
1592124209,"2020-06-14 08:43:29",37.378513,-6.034046
1592124235,"2020-06-14 08:43:55",37.37728,-6.032007
1592124245,"2020-06-14 08:44:05",37.377476,-6.030524
1592124266,"2020-06-14 08:44:26",37.379069,-6.028408
1592124295,"2020-06-14 08:44:55",37.376338,-6.026731
1592124301,"2020-06-14 08:45:01",37.37697,-6.02717
1592124326,"2020-06-14 08:45:26",37.373575,-6.028716
1592124335,"2020-06-14 08:45:35",37.372763,-6.02822
1592124369,"2020-06-14 08:46:09",37.368883,-6.026652
1592124422,"2020-06-14 08:47:02",37.363652,-6.025053
1592124453,"2020-06-14 08:47:33",37.362372,-6.025494
1592124484,"2020-06-14 08:48:04",37.361633,-6.027627
1592124515,"2020-06-14 08:48:35",37.361391,-6.026226
1592124520,"2020-06-14 08:48:40",37.361614,-6.02549
1592124557,"2020-06-14 08:49:17",37.359372,-6.025262
1592124568,"2020-06-14 08:49:28",37.357666,-6.025845
1592124604,"2020-06-14 08:50:04",37.355783,-6.026694
1592124637,"2020-06-14 08:50:37",37.355161,-6.024416
1592124643,"2020-06-14 08:50:43",37.350358,-6.026466
1592124670,"2020-06-14 08:51:10",37.34823,-6.026444
1592124677,"2020-06-14 08:51:17",37.348523,-6.026241
1592124701,"2020-06-14 08:51:41",37.347565,-6.026423
1592124724,"2020-06-14 08:52:04",37.344394,-6.025795
1592124763,"2020-06-14 08:52:43",37.339051,-6.024455
1592124795,"2020-06-14 08:53:15",37.335724,-6.024591
1592124804,"2020-06-14 08:53:24",37.334829,-6.02507
1592124826,"2020-06-14 08:53:46",37.331955,-6.027066
1592124837,"2020-06-14 08:53:57",37.330582,-6.027486
1592124859,"2020-06-14 08:54:19",37.327813,-6.028728
1592124888,"2020-06-14 08:54:48",37.325913,-6.028816
1592124899,"2020-06-14 08:54:59",37.322962,-6.031561
1592124916,"2020-06-14 08:55:16",37.324433,-6.033015
1592124947,"2020-06-14 08:55:47",37.325017,-6.054187
1592124953,"2020-06-14 08:55:53",37.314365,-6.035487
1592124999,"2020-06-14 08:56:39",37.30756,-6.039451
1592125045,"2020-06-14 08:57:25",37.301501,-6.043629
1592125097,"2020-06-14 08:58:17",37.296509,-6.054271
